;汉字	;希顶	备注	汉希提示	希汉提示
处	DhiL	旧拼写	-	-
处	DwY	旧拼写	-	-
冬	di3			
鸟	nuL			
务	wi3			
包	bL			
饥	LjE			
主	ka			
市	HTH			
立	viYH			
冯	ghu3			
冯	hu3	旧拼写	-	-
玄	xu2H			
闪	r8m			
兰	l2y			
兰	l2	旧拼写	-	-
半	biT			
汁	EHuo			
汇	4V			
头	t6			
汉	fEE			
宁	n8			
穴	xuY			
它	tiaf			
讨	hua			
写	xo			
让	rTi			
让	irT	旧拼写	-	-
礼	viVu			
礼	viVt	旧拼写	-	-
训	xu8i			
议	i5Y			
必	b6			
讯	78i			
记	iNia			
永	vi3			
司	Ho			
尼	nE			
民	mi8			
弗	4iL			
弘	hi3			
出	DA			
辽	liLz			
辽	zliL	旧拼写	-	-
奶	AnY			
奶	YnY	旧拼写	-	-
奴	nAH			
召	zL	zhào		
召	sLH	shào 姓氏	-	
加	ja			
皮	piLH			
边	bie			
孕	VnY			
发	pio	“發”的简化字 fā		
发	jbia	“髪”的简化字 fà	头~ 白~ 毛~ 长~ ~型 理~ 短~ 须~ ~卡 鬓~ 间不容~ 削~ 结~ 美~ 银~ 假~ ~辫 ~指 卷~ 剪~ ~际 怒~冲冠 落~ 华~ 烫~ ~廊	
圣	BY			
对	dVH			
台	tY			
矛	miY			
纠	7i6a			
母	mA			
幼	76			
丝	nuTH			
邦	bT			
式	HT			
迂	zyA			
刑	x8l			
戎	ru3H			
动	7i3			
扛	gT8			
寺	HuT			
吉	No			
扣	8k6			
考	kL			
托	Dua8			
老	lL			
巩	ki3			
圾	dNa			
执	HuaH			
扩	8ciT			
扫	8sL			
