;汉字	;希顶	备注	汉希提示	希汉提示
侄	VHY			
侦	Vci8			
侣	vioV			
侧	VDe			
凭	Fhu3			
凭	nhu3	旧拼写	-	-
侨	VquL			
佩	pV			
佩	VpV	旧拼写	-	-
货	xfia			
侈	Vdo			
依	VyE			
卑	bV			
的	de			
迫	poz	pò		
迫	piYz	pǎi 只用于“迫击炮”	~击炮	
质	HE			
欣	ki8r			
征	zz8			
征	VVz8	旧拼写	-	-
往	zka			
往	VVka	旧拼写	-	-
爬	paj			
彼	zbio			
彼	Vbio	旧拼写	-	-
径	j8z			
径	j8V	旧拼写	-	-
所	Hso			
所	so	旧拼写	-	-
舍	rueH			
金	7i8H			
刹	lsa			
命	oli8			
命	ak61	旧拼写	-	-
肴	yu6x			
斧	74iA			
爸	Vba			
采	DuY			
觅	jjV			
觅	5jV	旧拼写	-	-
受	s6H			
乳	l4iT			
乳	zav	旧拼写	-	-
贪	q2x			
念	nu2			
贫	p2x			
忿	Ff8			
肤	e4ia			
肺	huVe			
肢	eHua			
肿	ezu3			
肿	ez3	旧拼写	-	-
胀	ezT			
朋	p3			
股	t6e			
肮	ekT			
肪	efT			
肥	fE			
服	4iV			
胁	exY			
周	ru6			
昏	fi8			
鱼	7T			
兔	tiA			
狐	fiAv			
忽	hAF			
狗	vgi6			
狞	vn8			
备	be			
饰	phuT			
饰	HTL	旧拼写	-	-
饱	LbL			
饲	LHo			
变	v2r			
变	v22	旧拼写	-	-
京	Ni3			
享	B3H			
庞	5l3			
店	diV			
夜	ye			
庙	5miL			
庙	DuL5	旧拼写	-	-
府	4io			
底	5diT			
底	NdiT	旧拼写	-	-
疟	nuet			
疙	get			
疚	tj6			
剂	jEl			
卒	zuV	zú		
卒	DuVH	cù 同“猝”	-	
郊	1jL			
庚	g8H			
废	5pio			
净	Ni8E			
净	ENi8E	旧拼写	-	-
盲	mTT			
放	rfT			
刻	kel			
育	7iT			
氓	mTV			
闸	jam			
闹	HTm			
郑	zu8H			
券	quol			
卷	ju2			
单	D2H	chán 只用于“单于”	~于	
单	d2H	dān		
炬	x5V			
炒	DuLx			
炊	4uVx			
炕	xkT			
炎	yuV			
炉	xva			
炉	vax	旧拼写	-	-
沫	Emio			
浅	juYE			
法	hiaE			
泄	Eno			
沽	EgA			
河	hieE			
沾	Ez2			
泪	vEE			
沮	NiAE			
油	Eyu6			
泊	boE	bó		
泊	poE	pō	湖~ 水~ 血~	
沿	yuVE			
泡	pLE			
注	Eka			
泣	kEE			
泞	En8			
泻	Exo			
泌	maE	mì		
泌	Eb6	bì 泉流轻快的样子	-	
泳	Evi3			
泥	EnE			
沸	fVE			
沼	EzL			
波	Ebio			
泼	Epio			
泽	zeE			
治	EtY			
怔	Yz8			
怯	YqA			
怖	Yb3			
性	xu3Y			
怕	piaY			
怜	v8Y			
怜	Yli8	旧拼写	-	-
怪	YBY			
怡	NiTY			
学	xueV			
学	xueH	旧拼写	-	-
宝	fFY			
宗	zu3H			
定	di8H			
宠	fl3			
宜	NT			
审	s8H			
宙	ru6f			
官	Bi2			
空	k3			
帘	fvi2			
宛	wi2	wǎn		
宛	tVf	yuān 只用于“大宛”	大~	
实	fB2			
实	ft6	旧拼写	-	-
试	iHT			
郎	lT			
诗	iHuT			
肩	quY			
房	pfT			
诚	iD8			
衬	Du8u			
衫	cieu			
视	HuTT			
祈	N6u			
祈	N6t	旧拼写	-	-
话	ifL			
诞	iyY			
诡	BVi			
询	ixu8			
该	gYi			
详	xTi			
建	juY			
肃	c6			
录	lA			
隶	diYH			
帚	sL			
屉	pno			
居	jA			
届	pyu6			
刷	suaH			
屈	juo			
弧	fiAl			
弥	mial			
弦	xu2l			
承	3Bi3			
孟	m3H			
陋	l61			
陌	4uo1			
孤	giAV			
陕	hu21			
降	1juT			
函	h2H			
限	Fia1			
妹	mVA			
姑	AgA			
姐	qeA			
姓	xu3A			
妮	AnE			
始	AtY			
姆	AmA			
迢	7iLz			
驾	gja			
叁	7k2			
参	D2			
艰	Fia2			
线	juYa			
练	vea			
组	ciaa			
绅	as8			
细	atie			
驶	lYg			
驶	nYg	旧拼写	-	-
织	azE			
驹	gNA			
终	adi3			
驻	gka			
绊	abiT			
驼	tiog			
绍	sLa			
绎	5iYa			
经	j8a			
贯	B2			
契	qV			
贰	742			
奏	Du6H			
春	Du8			
帮	pbT			
帮	lbT	旧拼写	-	-
玷	diV3			
珍	z83			
玲	3li8			
珊	s23			
玻	3bio			
毒	fdiA			
型	dx8l			
拭	8HT			
挂	8Bia			
封	f3H			
持	Ha8			
拷	8kL			
拱	8gi3			
项	h3r			
项	fLi	旧拼写	-	-
垮	dca			
挎	8ca			
城	dD8			
挟	8qa			
挠	ruL8			
政	rz8			
赴	huTD			
赵	DxL			
挡	8dT			
拽	5ie8			
哉	zYo			
挺	8ti8			
括	kio8	kuò		
括	Ba8	guā 榨取，搜求	-	
垢	gi6d			
拴	su28			
拾	8hie			
挑	tiL8			
垛	ddio			
指	8HuL			
垫	Huad			
挣	8H8			
挤	jE8			
拼	pi88			
挖	8wa			
按	8Ni2			
挥	hV8			
挪	8na			
拯	8Bi3			
某	mi6			
甚	ki2			
荆	yx8l			
荆	lykY	旧拼写	-	-
茸	yre			
革	Be			
茬	yzY			
荐	y4u8			
巷	giT			
带	diY			
草	yruL			
茧	yci3			
茵	yy8			
茶	ra			
荒	hiT			
茫	ymTE			
荡	tiTy			
荣	ru3			
荤	hi8y			
荧	nu3x			
荧	nu3H	旧拼写	-	-
故	rgA			
胡	fiA			
荫	y4i8			
荔	yvE			
南	n2			
药	kLy			
标	biLc			
栈	rYc			
柑	cg2			
枯	kAc			
柄	bi8c			
栋	cd3			
相	xT			
查	Dua			
柏	boc	bò，同“檗”	-	
柏	cbY	bǎi		
栅	s2c			
柳	vi6c			
柱	cka			
柿	HTc			
栏	l2c			
栏	cl2	旧拼写	-	-
柠	cn8			
树	DAc			
树	dVc	旧拼写	-	-
勃	lbo			
要	yL			
柬	juVH			
咸	f6			
威	wiY			
歪	wYH			
研	skY			
砖	szu2			
厘	5lE			
厚	56V			
厚	5bV	旧拼写	-	-
砌	sqe			
砂	sas			
泵	bi36			
泵	bi3E	旧拼写	-	-
砚	sjV			
砍	ki2s			
面	mi2H			
面	mi2h	“麵”的简化字 粮食磨成的粉；粉状的东西	~粉 ~包 ~条 ~皮 ~团 炒~ 白~ ~食 米~ ~点 挂~ ~汤 牛肉~ 冷~ 黑~ ~筋 切~ 拉~ 汤~ 擀~ 碗~ 板~ 高粱~ 药~ 发~ 炸酱~ 打卤~ ~糊 豆~ 刀削~ 胡椒~ 辣椒~ 肉丝~ ~馆	
耐	fnuY			
耐	lnuY	旧拼写	-	-
耍	AnuY			
牵	xu2g			
牵	5nu6	旧拼写	-	-
鸥	46n			
残	juYt			
殃	tyT			
轴	ru6q			
轻	F3q			
鸦	nya			
皆	xuVH			
韭	k1			
背	ebiV			
战	D2l			
战	lz2	旧拼写	-	-
战	7z2	旧拼写	-	-
点	diVb			
虐	nueE			
临	bhu8			
临	bhu2	旧拼写	-	-
临	y2b	旧拼写	-	-
览	v2			
竖	k1f			
省	5e			
削	lxL			
尝	DTH			
昧	mVb			
盹	Fi8T			
是	sE			
盼	p2T			
眨	Thia			
哇	wao			
哄	hi3o			
哑	oyua			
显	xYr			
冒	mLH			
映	byT			
星	x8			
昨	zob			
咧	olie			
昭	bzL			
畏	wL			
趴	baD			
胃	wie			
贵	BiV			
界	4je			
虹	h3k			
虾	kxa			
蚁	k5Y			
思	nua	sī		
思	suYH	sāi 用于“䯱（pī）思”	䯱~	
蚂	kma			
虽	suVk			
品	hu8			
咽	y2o			
骂	ooma			
勋	ki3l			
哗	ofa			
咱	H2o			
响	opiT			
哈	hao			
哆	odo			
咬	ojL			
咳	keo	ké		
咳	ohY	hāi 叹息	~声叹气	
咪	omE			
哪	ona			
哟	kLo			
哟	okL	旧拼写	-	-
炭	7YH			
峡	caw			
罚	4hua			
贱	juYx			
贱	B6H	旧拼写	-	-
贴	tiex			
贻	NiTx			
骨	giA			
幽	w76			
钙	giYN			
钝	Fi8N			
钞	DuLN			
钟	7iTN	“鐘”的简化字 打击乐器；计时的器具；指时间或时刻		
钟	Nzu3	“鍾”的简化字 盛酒的器皿；（情感）集中、专注；姓氏	~爱 ~情 情有独~ ~南山	
钟	Nz3	旧拼写	-	-
钢	NgT			
钠	naN			
钥	Nyue			
钦	F3			
钧	58N			
钩	Ng6			
钮	n6N			
卸	xV			
缸	gT7			
拜	bYH			
看	Tki2			
看	2ki2	旧拼写	-	-
矩	75V			
毡	jz2			
氢	F36			
怎	Fza			
牲	gsu3			
选	zu2z			
选	zx2	旧拼写	-	-
适	ruYz	shì		
适	kioz	kuò 同“𨓈”；姓氏	-	
适	zfL	shì，旧拼写	-	-
秒	miLh			
香	hT			
种	hzu3	zhǒng,zhòng		
种	Du3h	chóng 姓氏	-	
种	hz3	zhǒng,zhòng，旧拼写	-	-
秋	qu6			
科	ce			
重	zu3			
复	kiY			
竿	2gi2			
段	F2			
便	pi2H			
俩	VviT			
贷	xdY			
顺	xu8r			
修	y6a			
俏	qLV			
保	bLH			
促	VB6			
俄	4ioV			
俐	VvV			
侮	hiYV			
俭	j2V			
俗	yAV			
俘	V4iT			
信	4i8V			
皇	fiT			
泉	quo			
鬼	BiVH			
侵	q8V			
禹	kTH			
侯	hi6			
侯	Vhi6	旧拼写	-	-
追	zuVz			
俊	ju8V			
盾	F8H			
待	FYz			
待	FY1	旧拼写	-	-
徊	zfiV			
徊	VVfiV	旧拼写	-	-
衍	4u2			
律	vieH			
很	h8z			
很	h8V	旧拼写	-	-
须	4uT			
叙	r7io			
叙	Fa	旧拼写	-	-
剑	j2l			
逃	7Lz			
食	huT			
盆	p8H			
胚	epE			
胧	el3			
胆	ed2			
胜	t8l			
胜	esu3			
胞	ebL			
胖	piTe			
脉	epiY			
脉	miYH	旧拼写	-	-
胎	etY			
勉	lmi2			
狭	cav			
狮	vnuV			
独	vkiA			
独	vci3	旧拼写	-	-
狰	vH8			
狡	vjL			
狱	7Y			
狠	h8v			
贸	xmiT			
怨	tVF			
急	nuo			
饵	Lre			
饶	ruLL			
蚀	khuT			
蚀	Lci3	旧拼写	-	-
饺	LjL			
饼	Lbi3			
峦	v2w			
弯	wi2H			
将	jT			
奖	fjT			
哀	4iY			
亭	t8			
亮	viTH			
度	dA			
迹	NEz			
庭	5ti8			
疮	tDuT			
疯	tf3			
疫	t5T			
疫	t5iT	旧拼写	-	-
疤	tba			
咨	HLo			
姿	HLA			
亲	Fi8			
音	73			
帝	dE			
施	tof			
闺	mBV			
闻	wi8T			
闽	km8			
阀	mha			
阁	mgie			
差	Do			
养	yuTL			
美	miVH			
姜	jTy	“薑”的简化字 生~		
姜	AquT	姓氏	-	
姜	juTy	旧拼写	-	-
叛	piTr			
送	zgE			
类	lVH			
迷	zmE			
籽	hHL			
娄	l6			
前	juV			
首	dLH			
逆	ci6z			
兹	HuY	zī		
兹	HVH	cí 只用于“龟（qiū）兹”	龟~	
总	aDu3			
炼	vex			
炸	xza			
烁	xle			
炮	pLx			
炫	xu2x			
烂	l2x			
烂	xl2	旧拼写	-	-
剃	ltE			
洼	waE			
洁	EqV			
洁	jeE	旧拼写	-	-
洪	hi3E			
洒	E5a			
柒	Ni6c			
柒	Ni6E	旧拼写	-	-
浇	EyuL			
浊	EkiA			
浊	Eci3	旧拼写	-	-
洞	d3E			
测	EDe			
洗	Ex2			
活	EfL			
派	piY			
洽	qaE			
染	E4ua			
洛	loE			
浏	Ev6			
济	jEE			
洋	EyuT			
洲	Ez6			
浑	hi8E			
浓	En3			
津	EciY			
恃	YHuT			
恒	gi8Y			
恒	f6Y	旧拼写	-	-
恢	YhV			
恍	fTY			
恬	ti2Y			
恤	YnV			
恰	qaY			
恼	nLY			
恨	h8Y			
举	5VH			
觉	xueT			
宣	xu2			
宦	ci8f			
室	fHY			
宫	g3f			
宪	fx2			
突	tiAH			
穿	fya			
窃	fqe			
客	cef			
诫	iN2			
冠	HB2			
冠	B2f	旧拼写	-	-
诬	iwia			
语	7Vi			
扁	bi2	biǎn		
扁	pi2	piān	~舟	
袄	yuLu			
祖	ciau			
祖	ciat	旧拼写	-	-
神	us8			
神	ts8	旧拼写	-	-
祝	HAu			
祝	uxu3	旧拼写	-	-
祝	txu3	旧拼写	-	-
祠	uHo			
祠	tHo	旧拼写	-	-
误	wi3i			
诱	ixu6			
诲	hiVi			
说	yuei	yuè 同“悦”	和颜~色 不亦~乎	
说	isuV	shuō/shuì		
诵	iyu3			
垦	k8d			
退	7V			
既	gY			
屋	wio			
昼	ru6p			
屏	pbi3	bǐng	~息 ~住 ~弃	
屏	pi8p	píng		
屎	hHue			
费	fVx			
陡	Fi61			
逊	zsu8			
眉	miV			
孩	VhY			
陨	ki31			
除	tA1			
除	Bio	旧拼写	-	-
险	quY1			
院	tiV1			
娃	waA			
姥	AlL			
姨	yEA			
姻	Ay8			
娇	jLA			
姚	AzuL			
娜	Ana			
怒	nAF			
架	cja			
贺	xja			
盈	Hu34			
勇	lyu3			
怠	dYF			
癸	ciV			
蚤	nuLH			
柔	r6			
垒	dliV			
绑	abT			
绒	ru3a			
结	jea			
绕	ruLa			
骄	jLg			
绘	ahiV			
给	giea			
绚	axu8			
骆	log			
络	loa			
绝	asue			
绞	ajL			
骇	ghY			
统	D3a			
耕	7N8			
耘	7yu8			
耗	7mL			
耙	pa7			
艳	yo			
泰	tYH			
秦	Fi3			
珠	3zA			
班	lkio			
素	ci6			
匿	nuom			
蚕	BYk			
顽	ru2r			
盏	rY4			
匪	mfV			
捞	lL8			
栽	zYc			
捕	bA8			
埂	dgi8			
捂	8wi6			
振	H88			
载	zYq			
赶	Dgi2			
起	qED			
盐	jV4			
盐	dyV	旧拼写	-	-
捎	suL8			
捍	8h2			
捏	ne8			
埋	mYd			
捉	8B6			
捆	c88			
捐	ju28			
损	ki38			
袁	tiV			
捌	8lBiY			
都	F61			
哲	ozue			
逝	zzue			
捡	j28			
挫	Do8			
换	8fY			
挽	4u28			
挚	Huaj			
挚	Hua8	旧拼写	-	-
热	rex			
恐	Fki3			
捣	8FL			
壶	fp6			
捅	t38			
埃	dNY			
挨	8NY			
耻	THu6			
耿	Tho			
耽	FiYT			
聂	ne			
恭	Fgi3			
莽	mT			
莱	ylY			
莲	yli2			
莫	mo			
莉	yvV			
荷	yhieV			
获	hoy			
晋	j3H			
恶	4oF			
莹	nu33			
莺	nu3n			
真	Hu8			
框	ccT			
梆	cbT			
桂	cBV			
桔	jec			
栖	c5a			
档	cdT			
桐	ct3			
株	czA			
桥	cquL			
桦	cfa			
栓	su2c			
桃	7Lc			
格	cgie			
桩	czuT			
校	xLc	xiào 学校；军衔名		
校	cjL	jiào 比较；查对、订正	~正 ~勘 ~订 ~对 ~点 ~注 ~验 ~本 ~样 ~准 ~阅 ~核	
核	hec			
样	yuTc			
样	cyuT	旧拼写	-	-
根	cg8			
索	so			
索	flia	旧拼写	-	-
哥	ge			
速	zs3			
逗	zdi6			
栗	viL			
贾	gia			
酌	ko4			
配	ppiV			
配	4giY	旧拼写	-	-
翅	nHua			
辱	rua			
唇	oBi8			
夏	xua			
砸	huas			
砰	spi8			
砾	vYs			
础	sBi6			
础	sDA	旧拼写	-	-
破	pios			
原	yu2			
套	H7L			
套	f7L	旧拼写	-	-
逐	rLz			
烈	xlie			
殊	kiVt			
殉	txu8			
顾	giar			
轿	jLq			
较	qjL			
顿	Fi8r			
毙	tbE			
致	rHY			
柴	cHV			
桌	czo			
虑	liA			
监	jVH			
紧	k1u			
紧	k1a	旧拼写	-	-
党	dTH			
逞	zB8			
晒	b5a			
眠	Tmi8			
晓	byuL			
晓	bxuL	旧拼写	-	-
哮	oxuL			
唠	lLo			
鸭	4ian			
晃	fiTH			
哺	bAo			
晌	bpiT			
剔	tEl			
晕	yu8b			
蚌	h6k			
畔	piT4			
蚣	gi3k			
蚊	kwi8			
蚪	kd6			
蚓	n3k			
哨	suLo			
哩	olE			
圃	pAm			
哭	ooquV			
哦	4ioo			
恩	48			
鸯	nyT			
唤	ofY			
唁	o7iY			
哼	oh8			
唧	oNiY			
啊	o4a			
唉	oNY			
唆	soo			
罢	biYH			
峭	qLw			
峨	4iow			
峰	fi3w			
圆	m7i2			
峻	ju8w			
贼	lDe			
贼	ru3x	旧拼写	-	-
贿	wex			
赂	liAx			
赃	xzuT			
钱	juYN			
钳	Ng2			
钻	Nz2			
钾	jaN			
铁	HEN			
铃	Nli8			
铅	yuVN			
缺	jue7			
氧	6yuT			
氨	6Ni2			
特	FYg			
牺	5ag			
牺	g5a	旧拼写	-	-
造	BL			
乘	c3			
敌	FEr			
秤	hpi8			
租	ciah			
积	NEh			
秧	hyT			
秩	HEh			
称	hnu8			
秘	mah			
透	zxu6			
笔	kiL			
笑	yuL2			
笋	5L2			
债	Vze			
借	NeV			
值	VH6			
倚	5iTV			
俺	4i2V			
倾	Vqu8			
倒	FLV			
倘	tTV	tǎng		
倘	BTV	cháng 同“徜”	-	
俱	V5iV			
倡	VDT			
候	Vhi6			
候	hi6	旧拼写	-	-
赁	xru8			
俯	V4io			
倍	biVV			
倦	Vju2			
健	VjuY			
臭	xu6H			
射	frue			
躬	g3D			
息	xEH			
倔	Vjuo			
徒	Fi6z			
徒	Fi6V	旧拼写	-	-
徐	z7io			
徐	V7io	旧拼写	-	-
殷	7i8			
舰	qjV			
舱	qDuT			
般	b2			
航	hTq			
途	tAz			
拿	nuaH			
拿	haj	旧拼写	-	-
拿	ha8	旧拼写	-	-
耸	TD3			
爹	die			
舀	tL			
爱	4YF			
豺	vDY			
豹	kLv			
颁	p2r			
颂	s3r			
翁	w3			
胰	yEe			
脆	wiVe			
脂	eHuL			
胸	elx3			
胳	ege			
脏	ezuT			
脐	eNL			
胶	ejL			
脑	nLe			
脓	en3			
逛	cTz			
狸	vlE			
狼	lTv			
卿	gNiY			
逢	fi3z			
鸵	tion			
留	li6			
鸳	tVn			
皱	z6j			
饿	4ioL			
馁	Ltio			
凌	vi8E			
凄	ENiL			
恋	v2F			
桨	cjT			
浆	6jT			
浆	EjT	旧拼写	-	-
衰	DVH			
衷	uz3			
高	gL			
郭	gioH			
席	N2H			
准	43E			
准	FVE	旧拼写	-	-
座	5zuo			
症	tz8			
病	bi8t			
疾	N1t			
斋	jEu			
斋	rnuY	旧拼写	-	-
疹	z8t			
疼	tdi3			
疲	piLt			
脊	4T			
效	xLr			
离	viV			
紊	uwi8			
紊	awi8	旧拼写	-	-
唐	tiT			
瓷	7HuV			
资	HLx			
凉	liTE			
站	fz2			
剖	piVl			
竞	2j8			
部	kiaH			
旁	pT			
旅	l1			
畜	Bo			
阅	yuem			
羞	gDu6			
羔	gLH			
瓶	pi87			
拳	quoj			
拳	quo8	旧拼写	-	-
粉	hf8			
料	hd6			
益	5iY			
兼	jY			
烤	xkL			
烘	hi3x			
烦	fLx			
烧	ruLx			
烛	xkiA			
烛	xci3	旧拼写	-	-
烟	y2x			
烙	lox			
递	zdV			
涛	FiLE			
浙	Ezue			
涝	lLE			
浦	pAE			
酒	EpiV			
涉	Ekia			
消	ExL			
涡	woE			
浩	hiLE			
海	hiYE			
涂	tAE			
浴	yAE			
浮	E4iT			
涣	EfY			
涤	EtiL			
流	li6E			
润	EruV			
涧	Ej2			
涕	EtE			
浪	lTE			
浸	q8E			
涨	ElzT			
烫	tiTx			
涩	sueE			
涌	Eyu3			
悖	biVY			
悟	Ywi6			
悄	qLY			
悍	Yh2			
悔	hiVY			
悯	Ymwi8			
悦	yueY			
害	hiY			
宽	c2			
家	jua			
宵	fxL			
宴	yof			
宾	fbi8			
窍	juLf			
窍	fqL	旧拼写	-	-
窄	zuYH			
容	r3			
宰	HuVf			
案	cNi2			
请	iq8			
朗	vT			
诸	zAi			
诺	nuoi			
读	dAi			
扇	cie			
诽	ifV			
袜	umio			
袖	x6u			
袍	pLu			
被	piLu			
祥	xTu			
祥	xTt	旧拼写	-	-
课	kiei			
冥	m8H			
谁	suVi			
调	diLi			
调	diLo	旧拼写	-	-
冤	ftiA			
谅	liTi			
谆	B3i			
谈	t2i			
谊	iNT			
剥	llA			
恳	k8F			
展	Hu2H			
剧	5iVl			
剧	ljA	旧拼写	-	-
屑	pxL			
弱	ruo			
陵	vi81			
祟	uDA			
祟	tDA	旧拼写	-	-
陶	tL1			
陷	qua1			
陪	piV1			
娱	7ioA			
娟	ju2A			
恕	FrA			
娥	4ioA			
娘	nTA			
通	t3z			
能	n8H			
难	t2			
预	r7L			
预	7oH	旧拼写	-	-
桑	sT			
绢	ju2a			
绣	axu6			
验	quYg			
继	F2a			
骏	ju8g			
球	3q6			
琐	suo3			
理	3lE			
琉	li63			
琅	lT3			
捧	8fi3			
堵	F6d			
措	Duo8			
描	8miL			
域	7ad			
捺	nuY8			
掩	8y2			
捷	juo8			
排	pY8			
焉	yYH			
掉	FT8			
捶	8DV			
赦	hEr			
堆	FVd			
推	FV8			
埠	dbiA			
掀	8ki8r			
掀	xuY8	旧拼写	-	-
授	s68			
捻	8nu2			
教	rxuL			
掏	tL8			
掐	qua8			
掠	liT8			
掂	8diV			
培	piVd			
接	8qY			
掷	zu88			
控	8k3			
探	7i28			
据	5iV8	“據”的简化字		
据	8jA	用于“拮据”	拮~	
掘	8juo			
掺	8D2			
职	TzE			
基	Nad			
聆	Tli8			
勘	lki2			
聊	vi6T			
娶	AFT			
著	zAy			
菱	vi8y			
勒	ve			
黄	hiTH			
菲	yfV			
萌	ymi3			
萝	ylo			
菌	li3y			
萎	ywV			
菜	yDuY			
萄	tLy			
菊	NAy			
菩	piVy			
萍	Eypi8			
萍	yEpi8	旧拼写	-	-
菠	ybio			
萤	nu3k			
营	onu3o			
营	nu3oo	旧拼写	-	-
营	nu3o	旧拼写	-	-
乾	hYl			
乾	ge7	旧拼写	-	-
萧	xuLy			
萨	DYy			
菇	ygA			
械	cN2			
彬	li8a			
梦	mi3b			
婪	v6H			
梗	cgi8			
梧	cwi6			
梢	suLc			
梅	cmV			
检	j2c			
梳	cLc			
梯	ctE			
桶	t3c			
梭	soc			
救	rq6			
曹	DL			
副	4iTl			
票	piL			
酝	vi34			
酝	4yu8	旧拼写	-	-
酗	4x3			
厢	5xT			
戚	NLH			
硅	sBV			
硕	sEr			
硕	fLs	旧拼写	-	-
奢	hue			
盔	4hV			
爽	4uTH			
聋	Tl3			
袭	ul3			
盛	su34	shèng		
盛	4D8	chéng	~放 ~器 ~水	
匾	mbi2			
雪	xue			
辅	hiAq			
辆	qviT			
颅	rva			
虚	xA			
彪	ahiL			
雀	Hque			
雀	queH	旧拼写	-	-
堂	tT			
常	BiT			
眶	TcT			
匙	lsE			
匙	tsE	旧拼写	-	-
晨	bBi8			
睁	TH8			
眯	TmE			
眼	FiaT			
悬	xVF			
野	ruY			
啪	piao			
啦	lao			
曼	m2			
晦	hiVb			
晚	4u2b			
啄	zuoo			
啡	ofV			
距	D5V			
趾	DHu6			
啃	ok8			
跃	yuLD			
略	liA4			
蚯	q6k			
蛀	kka			
蛇	kFio			
唬	ohiL			
累	uliV			
累	aliV	旧拼写	-	-
鄂	14o			
鄂	14T	旧拼写	-	-
唱	oDT			
患	fi6			
啰	olo			
唾	oDV			
唯	wVo			
啤	pTo			
啥	rueo			
啸	xuLo			
崖	yaw			
崎	wNi6			
崭	wH2			
逻	zlo			
崔	DuV			
帷	wVp			
崩	b3w			
崇	Bi3w			
崛	wjuo			
婴	Hu3			
圈	mju2	juàn	猪~ 羊~ ~养	
圈	quom	quān		
铐	NkL			
铛	NdT			
铝	vioN			
铜	Nt3			
铭	mi8N			
铲	DYN			
银	73N			
矫	jL7			
甜	ti2L			
甜	ti24	旧拼写	-	-
秸	jeh			
梨	cvV			
犁	gvV			
秽	fieh			
移	5Th			
笨	2b8			
笼	2l3			
笛	FiV2			
笙	2su3			
符	24i3			
第	2dV			
敏	hu2			
做	zor			
袋	udY			
悠	y6F			
偿	DTV			
偶	4i6V			
偎	VwL			
偷	V7o			
您	Fnu8			
售	zVo			
停	Vt8			
偏	Vpi2			
躯	DFi6			
兜	d6H			
假	juaV			
衅	xnV			
徘	pYz			
徘	pYVV	旧拼写	-	-
徙	56H			
得	Fez	动词	~到 获~ 取~ 不~ ~名 ~以 ~知 难~ ~罪 ~意 ~出 夺~ 赢~ ~分 所~ 求~ ~来 ~力 ~不到 ~天独厚 ~胜 ~失 彼~ ~手 彼~ ~体 博~ 欧几里~ ~逞 心~ ~当 应~ ~寸进尺 ~益 争~ ~心应手 ~悉 ~主 适~其反 自~ ~利 心安理~ 挣~ ~救 征~ ~克萨斯 购~ ~不偿失 ~道 ~数 罗~ 各~其所 不可多~ ~势 分~ ~奖 既~ 一举两~ 志在必~ 贪~无厌 如鱼~水 ~病 ~愈 唾手可~ 患~患失 ~克萨斯 ~宠 始~ 用~上 ~人心 兼~ ~志 ~空 因祸~福 易~ 死~其所 ~过且过 ~票 摘~ ~州 ~闲 ~法 种瓜~瓜 马上~天下 ~宜 势在必~ 近水楼台先~月 一无所~ 种豆~豆 一举三~ ~而复失 贪多务~ 一举数~ 一举多~	
得	zde	助词		
得	FeV	动词，旧拼写	-	-
得	Vde	助词，旧拼写	-	-
衔	7i8m			
盘	peH			
舶	boq			
船	yuVq			
舵	qFio			
斜	77io			
盒	4hie			
鸽	gien			
敛	li2r			
悉	5oH			
欲	yAr			
彩	aDuY			
领	rli8			
脚	eFiV			
脖	ebo			
脯	pAe			
豚	rLe			
脸	li2e			
脱	esuV			
象	xuT			
够	egi6			
够	4gi6	旧拼写	-	-
逸	ztiA			
猜	vq8			
猪	zAv			
猪	HAH	旧拼写	-	-
猎	liev			
猎	liav	旧拼写	-	-
猫	vmiL			
凰	nfiT			
猖	vDT			
猛	m3v			
祭	NoH			
馅	quaL			
馆	LBi2			
凑	Du6E			
减	jYE			
毫	jhL			
烹	xh8			
庶	zueH			
麻	mia			
庵	4i25			
痊	tqu2			
痒	tyuT			
痕	h8t			
廊	5lT			
康	kiT			
庸	yu3H			
鹿	vio			
盗	E4qo			
盗	4HuV	旧拼写	-	-
章	zTH			
竟	j8			
商	ciTH			
族	cia			
旋	xuV			
望	ewiT			
望	TwT	旧拼写	-	-
率	suY			
阎	yVm			
阐	D2m			
着	zAH			
着	TyuT	旧拼写	-	-
羚	gli8			
盖	foy			
眷	Tju2			
粘	hz2			
粗	Bi6h			
粒	viYh			
断	F27			
断	F2j	旧拼写	-	-
剪	ljuV			
兽	hu6H			
兽	vs6	旧拼写	-	-
焊	xh2			
焕	xfY			
清	Eq8			
添	Eti2			
鸿	nh3E			
鸿	h3En	旧拼写	-	-
淋	li8E			
涯	yaE			
淹	Ey2			
渠	NiA			
渐	qoE			
淑	EcL			
淌	tTE			
混	fi8E			
淮	zVE			
淮	Ela	旧拼写	-	-
淆	Eyu6x			
渊	4uY			
渊	EnmE	旧拼写	-	-
淫	43			
渔	E7T			
淘	tLE			
淳	B3E			
液	Eye			
淤	E7iL			
淡	FieE			
淀	di8E			
深	7i2E			
涮	suaE			
涵	h2E			
婆	pioA			
梁	vTc			
渗	ED2			
情	Yq8			
惜	5i6Y			
惭	YH2			
悼	FTY			
惧	Y5iV			
惕	tEY			
惟	wVY			
惊	YNi3			
惦	YdiV			
悴	DuVY			
惋	Ywi2			
惨	YD2			
惯	YB2			
寇	ki6			
寅	ti3H			
寄	NiYf			
寂	fcL			
宿	kiV			
窒	fHYH			
窒	hu6H	旧拼写	-	-
窑	yLf			
密	maw			
谋	imi6			
谍	diei			
谎	ihiT			
谐	xuVi			
袱	u46			
祷	FiLu			
祷	FiLt	旧拼写	-	-
祸	gou			
祸	got	旧拼写	-	-
谓	iwie			
谚	i7iV			
谜	izmE			
