巴	ba
鬓	jbi8
鬢	jbi8
鬂	jbi8
髌	jbi8H
髕	jbi8H
镔	Nbi8
鑌	Nbi8
殡	tbi8
殯	tbi8
槟	cbi8
檳	cbi8
缤	abi8
繽	abi8
膑	ebi8
臏	ebi8
滨	Ebi8
濱	Ebi8
嫔	Abi8
嬪	Abi8
摈	8bi8
擯	8bi8
瑸	3bi8
璸	3bi8
傧	Vbi8
儐	Vbi8
兵	Hbi8
梹	cHbi8
浜	EHbi8
丙	bi8H
昞	bi8b
昺	bi8bH
炳	bi8x
苪	bi8y
病	bi8t
疒	bi8tH
蛃	bi8k
柄	bi8c
窉	bi8f
怲	bi8Y
眪	bi8T
抦	bi88
陃	bi81H
邴	bi81
并	bi3
屏	pbi3
迸	zbi3
跰	Dbi3
垪	dbi3
庰	5bi3
鮩	Bbi3
栟	cbi3
饼	Lbi3
餅	Lbi3
摒	8bi3
併	Vbi3
倂	Vbi3
辈	bi3q
輩	bi3q
悲	bi3F
棑	bi3c
琲	bi33
北	biV
苝	ybiV
褙	ubiV
背	ebiV
揹	8biV
偝	VbiV
丠	pbiV
邶	1biV
焙	biVx
蓓	biVy
踣	biVD
碚	biVs
棓	biVc
倍	biVV
辟	pa
闢	mpa
䴙	npa
䴙	npa
鐾	Npa
劈	lpa
癖	tpa
甓	7pa
襞	upa
噼	opa
澼	Epa
霹	6pa
僻	Vpa
擗	8pa
譬	ipa
皅	pab
帊	pap
爬	pa8
舥	paq
𤆵	pax
葩	pay
钯	paN
鈀	paN
羓	pag
耙	pa7
杷	pac
潖	paE
妑	paA
筢	pa2
琶	pa3
叵	po
尀	rpo
笸	2po
钷	Npo
鉕	Npo
岶	pow
迫	poz
魄	pot
泊	poE
珀	po3
匹	pe
苉	ype
盘	peH
幋	pep
磐	pes
盤	pe4
槃	pec
媻	peA
丕	pE
噽	YpE
嚭	YpE
坯	dpE
狉	vpE
䪹	rpE
衃	jpE
苤	ypE
怌	YpEH
伾	VpE
𬳵	gpE
駓	gpE
柸	cpE
呸	opE
胚	epE
妚	ApE
邳	1pE
屁	pEp
砒	pEs
芘	pEy
蚍	pEk
毗	pE4
毘	pE4
枇	pEc
枈	pEc
纰	pEa
紕	pEa
批	pE8
琵	pE3
玭	pE3H
仳	pEV
普	pA
镨	NpA
鐠	NpA
潽	EpA
氆	jpA
谱	ipA
譜	ipA
圃	pAm
莆	pAy
铺	pAN
鋪	pAN
匍	pAl
